id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1364319564377554947,1364300681134428164,2021-02-23 16:01:46 EST,2021-02-23,16:01:46,-0500,1359794413644439553,jimtk1975,Jono,,@PedroPascal1 @themandalorian Cancel culture will cancel anyone or anything that gets in the way of their ultimate goal which is the cancellation of western civilisation itself. The logic of repressive tolerance only victims (minority groups) can be weaponized to achieve that.  I AM @ginacarano (IAMSPARTACUS),en,"[{'screen_name': 'ginacarano', 'name': 'gina carano 🕯', 'id': '46671731'}]",[],[],0,0,0,[],[],https://twitter.com/jimtk1975/status/1364319564377554947,False,,0,,,,,,,,"[{'screen_name': 'PedroPascal1', 'name': 'Pedro Pascal he/him', 'id': '1645711686'}, {'screen_name': 'themandalorian', 'name': 'The Mandalorian', 'id': '1060978099146260480'}]",,,,
1364319559755456520,1364282632327073798,2021-02-23 16:01:45 EST,2021-02-23,16:01:45,-0500,814773946658783232,imafrenchboi,Pedro,,@KujoItachi @Vikingwar175 @topracismo @sara_gbh Pas qu'il se fasse choper par le col par les woke thai de la cancelculture,fr,[],[],[],0,0,2,[],[],https://twitter.com/imafrenchboi/status/1364319559755456520,False,,0,,,,,,,,"[{'screen_name': 'KujoItachi', 'name': '🇦🇲 ⚪Ⓜ️', 'id': '1218269580751200256'}, {'screen_name': 'Vikingwar175', 'name': 'JFK 🔥🔥', 'id': '1352550621459730437'}, {'screen_name': 'topracismo', 'name': 'Top Racismo', 'id': '1137747296790204417'}, {'screen_name': 'sara_gbh', 'name': 'adam', 'id': '3558514828'}]",,,,
1364319497247596547,1364282044595994624,2021-02-23 16:01:30 EST,2021-02-23,16:01:30,-0500,1359794413644439553,jimtk1975,Jono,,@jeremy_force @Drunk3P0 @ginacarano Cancel culture will cancel anyone or anything that gets in the way of their ultimate goal which is the cancellation of western civilisation itself. The logic of repressive tolerance only victims (minority groups) can be weaponized to achieve that.  I AM @ginacarano (IAMSPARTACUS),en,"[{'screen_name': 'ginacarano', 'name': 'gina carano 🕯', 'id': '46671731'}]",[],[],0,0,0,[],[],https://twitter.com/jimtk1975/status/1364319497247596547,False,,0,,,,,,,,"[{'screen_name': 'jeremy_force', 'name': 'ForceGhostJeremy', 'id': '1037415767950716931'}, {'screen_name': 'Drunk3P0', 'name': '🍓Drunk3P0 🥤', 'id': '1007486304408555520'}, {'screen_name': 'ginacarano', 'name': 'Gina Carano 🕯', 'id': '46671731'}]",,,,
1364319495360286722,1364294753857101825,2021-02-23 16:01:30 EST,2021-02-23,16:01:30,-0500,76095733,ekaht,Emily Kaht,,"@KaeleyT Accountability would be making amends for a gaffe. Amends should depend on nature of the gaffe and the harm it caused. But cancel culture isn't about making amends; it's about punishment, and often, the punishment doesn't fit the crime.",en,[],[],[],0,0,0,[],[],https://twitter.com/EKaht/status/1364319495360286722,False,,0,,,,,,,,"[{'screen_name': 'KaeleyT', 'name': 'Kaeley Triller', 'id': '598209003'}]",,,,
1364319458383159297,1364319458383159297,2021-02-23 16:01:21 EST,2021-02-23,16:01:21,-0500,1363359068266586113,dansterxx,Daniel Froh,,Im fighting #CancelCulture By #CancelDisneyPlus #CancelCoke and #CancelAllLiberals #ConservativeStrike,en,[],[],[],0,0,0,"['cancelculture', 'canceldisneyplus', 'cancelcoke', 'cancelallliberals', 'conservativestrike']",[],https://twitter.com/Dansterxx/status/1364319458383159297,False,,0,,,,,,,,[],,,,
1364319392406794243,1364226029779181569,2021-02-23 16:01:05 EST,2021-02-23,16:01:05,-0500,793577262,58isthenew40,"Political Tri-fecta - House, Senate, White House",,"@Maria75455046 @MADiSciullo @LibertyAnders Shove off Maria. And pound sand with the tiresome ""cancel culture"" trope.",en,[],[],[],0,0,0,[],[],https://twitter.com/58isthenew40/status/1364319392406794243,False,,0,,,,,,,,"[{'screen_name': 'Maria75455046', 'name': 'Maria💛🌺1.2%', 'id': '1275607566643531777'}, {'screen_name': 'MADiSciullo', 'name': 'Michael DiSciullo', 'id': '721370215313899522'}, {'screen_name': 'LibertyAnders', 'name': 'Maggie 🐊', 'id': '1141009702354075650'}]",,,,
1364319356319072265,1364319337012752385,2021-02-23 16:00:57 EST,2021-02-23,16:00:57,-0500,1295807084169224192,pirbip,PirBip - Compte en base 16 quelquefois.,,"J'ai longtemps suivi Astronogeek et j'étais prête à défendre sa chaîne. Puis j'ai découvert son expérience Twitter. J'ai pensé que c'était nul, et qu'il n'avait rien prouvé. Ses deux vidéos sur la cancel culture m'avaient rendue dubitative de ses capacités rationnelles.  12/24",fr,[],[],[],1,0,0,[],[],https://twitter.com/PirBip/status/1364319356319072265,False,,0,,,,,,,,[],,,,
1364319353252892674,1364318228869115912,2021-02-23 16:00:56 EST,2021-02-23,16:00:56,-0500,1297009379221180416,myleslucks,Myles,,"@Boogie2988 Some republicans will take the latter as well in the fact they think they're saving people from things like ""Cancel Culture"" or ""Anti-white"" rhetoric OR protecting MAH GUNS",en,[],[],[],0,0,0,[],[],https://twitter.com/MylesLucks/status/1364319353252892674,False,,0,,,,,,,,"[{'screen_name': 'Boogie2988', 'name': 'boogie2988 😭🤡', 'id': '42345999'}]",,,,
1364319334563123202,1364319334563123202,2021-02-23 16:00:51 EST,2021-02-23,16:00:51,-0500,1074818829925011456,kal_el_786,Maaz,,Dont u all hate cancel culture?? Isnt this cancel culture lmaoo. All coca cola said was be aware of ur privilege and dont be racist.,en,[],[],[],0,0,2,[],[],https://twitter.com/kal_el_786/status/1364319334563123202,False,https://twitter.com/TheOnlyJDN/status/1363627149215731714,0,,,,,,,,[],,,,
1364319327449718785,1364316528053682178,2021-02-23 16:00:50 EST,2021-02-23,16:00:50,-0500,1007984966418956290,nvjxx_,naji hikikomori kyōkai,,@_RapVibes Ceux qui t'aimaient pas bah ils t'aimaient pas de base donc bon Cancel culture if i speak à propos de ça,fr,[],[],[],1,0,0,[],[],https://twitter.com/nvjxx_/status/1364319327449718785,False,,0,,,,,,,,"[{'screen_name': '_RapVibes', 'name': 'RapVibes', 'id': '1335535331224023040'}]",,,,
